,Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Price sensitivity scores,Income bins,Age
28,Twin Falls Idaho,985341.0,1027228.0,,500000.0,Jul 30 1999,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77.0,7.1,2810.0,0.0012962153809097244,71.0,77.0
29,Three Kingdoms: Resurrection of the Dragon,0.0,22139590.0,,20000000.0,Apr 03 2008,R,,,Based on Book/Short Story,Action,Historical Fiction,,,,,0.0,,
30,3 Men and a Baby,167780960.0,167780960.0,,15000000.0,Nov 25 1987,,,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,,5.7,16764.0,0.2207157329044455,57.0,
31,3 Ninjas Kick Back,11744960.0,11744960.0,,20000000.0,May 06 1994,PG,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,,17.0,3.2,3107.0,0.0,32.0,17.0
32,Forty Shades of Blue,75828.0,172569.0,,1500000.0,Sep 28 2005,R,,Vitagraph Films,Original Screenplay,Drama,,,,6.0,873.0,9.975167977748067e-05,60.0,
33,42nd Street,2300000.0,2300000.0,,439000.0,Mar 09 2033,,,Warner Bros.,Based on Book/Short Story,Musical,,,95.0,7.7,4263.0,0.0030256483553331953,77.0,95.0
34,Four Rooms,4301000.0,4301000.0,,4000000.0,Dec 25 1995,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14.0,6.4,34328.0,0.0,64.0,14.0
35,The Four Seasons,42488161.0,42488161.0,,6500000.0,May 22 1981,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71.0,7.0,1814.0,0.05589314541338348,70.0,71.0
36,Four Weddings and a Funeral,52700832.0,242895809.0,,4500000.0,Mar 09 1994,R,,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96.0,7.1,39003.0,0.06932790681108306,71.0,96.0
37,51 Birch Street,84689.0,84689.0,,350000.0,Oct 18 2006,Not Rated,,Truly Indie,,,,,97.0,7.4,439.0,0.00011140831894122303,74.0,97.0
38,55 Days at Peking,10000000.0,10000000.0,,17000000.0,Dec 31 1962,,,,Original Screenplay,Drama,,,57.0,6.8,2104.0,0.013154992849274762,68.0,57.0
39,Nine 1/2 Weeks,6734844.0,6734844.0,,18000000.0,Feb 21 1986,,,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Adrian Lyne,,5.4,12731.0,0.008859682466098103,54.0,
40,AstÈrix aux Jeux Olympiques,999811.0,132999811.0,,113500000.0,Jul 04 2008,Not Rated,,Alliance,Based on Comic/Graphic Novel,Adventure,Fantasy,,,4.9,5620.0,0.0013152506555626248,49.0,
41,The Abyss,54243125.0,54243125.0,,70000000.0,Aug 09 1989,PG-13,,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88.0,7.6,51018.0,0.0713567921497317,76.0,88.0
42,Action Jackson,20257000.0,20257000.0,,7000000.0,Feb 12 1988,,,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,,10.0,4.6,3856.0,0.0,46.0,10.0
43,Ace Ventura: Pet Detective,72217396.0,107217396.0,,12000000.0,Feb 04 1994,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49.0,6.6,63543.0,0.09500193279732438,66.0,49.0
44,Ace Ventura: When Nature Calls,108360063.0,212400000.0,,30000000.0,Nov 10 1995,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,,5.6,51275.0,0.14254758539119627,56.0,
45,April Fool's Day,12947763.0,12947763.0,,5000000.0,Mar 27 1986,,,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,,31.0,,,0.017032772967910434,,31.0
46,Among Giants,64359.0,64359.0,,4000000.0,Mar 26 1999,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,,,,5.7,546.0,8.466421847864745e-05,57.0,
47,Annie Get Your Gun,8000000.0,8000000.0,,3768785.0,May 17 1950,,,MGM,Based on Book/Short Story,Musical,,,100.0,7.1,1326.0,0.01052399427941981,71.0,100.0
48,Alice in Wonderland,0.0,0.0,,3000000.0,Jul 28 1951,,,RKO Radio Pictures,Based on Book/Short Story,Musical,,,20.0,6.7,63458.0,0.0,67.0,20.0
49,The Princess and the Cobbler,669276.0,669276.0,,24000000.0,Aug 25 1995,G,,Miramax,Original Screenplay,Adventure,Fantasy,,,7.3,893.0,0.0008804320994191216,73.0,
50,The Alamo,7900000.0,7900000.0,,12000000.0,Oct 24 1960,PG-13,,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54.0,5.9,10063.0,0.010392444350927062,59.0,54.0
51,Alexander's Ragtime Band,4000000.0,4000000.0,,2000000.0,Dec 31 1937,,,20th Century Fox,Original Screenplay,Drama,,,,,,0.005261997139709905,,
52,Alive,36299670.0,36299670.0,,32000000.0,Jan 15 1993,R,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71.0,3.2,124.0,0.04775218992810336,32.0,71.0
53,Amen,274299.0,274299.0,,14000000.0,Jan 24 2003,Not Rated,,Kino International,Based on Play,Drama,,Costa-Gavras,,7.4,5416.0,0.0003608401383563218,74.0,
54,American Graffiti,115000000.0,140000000.0,,777000.0,Aug 11 1973,,,Universal,Original Screenplay,Comedy,,George Lucas,97.0,7.6,30952.0,0.15128241776665977,76.0,97.0
55,American Ninja 2: The Confrontation,4000000.0,4000000.0,,350000.0,Dec 31 1986,,,,Original Screenplay,Action,,Sam Firstenberg,,3.7,2495.0,0.005261997139709905,37.0,
56,The American President,60022813.0,107822813.0,,62000000.0,Nov 17 1995,PG-13,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,90.0,6.8,22780.0,0.07895996758083562,68.0,90.0
57,Annie Hall,38251425.0,38251425.0,,4000000.0,Apr 20 1977,,,MGM,Original Screenplay,Comedy,,Woody Allen,98.0,8.2,65406.0,0.05031972223495699,82.0,98.0
58,Anatomie,9598.0,9598.0,,2500000.0,Sep 08 2000,Not Rated,,Sony Pictures,Original Screenplay,Horror,,,,6.1,6266.0,1.2626162136733917e-05,61.0,
59,The Adventures of Huck Finn,24103594.0,24103594.0,,6500000.0,Apr 02 1993,PG,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62.0,5.8,3095.0,0.03170826067118221,58.0,62.0
60,The Apartment,18600000.0,24600000.0,,3000000.0,Dec 31 1959,,,United Artists,Original Screenplay,Romantic Comedy,,Billy Wilder,91.0,8.4,36485.0,0.024468286699651058,84.0,91.0
61,Apocalypse Now,78800000.0,78800000.0,3479242.0,31500000.0,Aug 15 1979,R,,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98.0,8.6,173141.0,0.10366134365228512,86.0,98.0
62,Arachnophobia,53208180.0,53208180.0,,31000000.0,Jul 18 1990,,,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Frank Marshall,85.0,6.2,20528.0,0.06999532274229243,62.0,85.0
63,Arn - Tempelriddaren,0.0,14900000.0,,16500000.0,Dec 25 2007,R,,,Based on Book/Short Story,Action,Historical Fiction,,,6.4,6251.0,0.0,64.0,
64,Arnolds Park,23616.0,23616.0,,600000.0,Oct 19 2007,PG-13,,The Movie Partners,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,5.1,77.0,3.1066831112847276e-05,51.0,
65,Sweet Sweetback's Baad Asssss Song,15200000.0,15200000.0,,150000.0,Jan 01 1971,,,,,,,,,5.6,1769.0,0.019995589130897638,56.0,
66,And Then Came Love,8158.0,8158.0,,989000.0,Jun 01 2007,Not Rated,,Fox Meadow,,Comedy,,,17.0,4.4,200.0,0.0,44.0,17.0
67,Around the World in 80 Days,42000000.0,42000000.0,,6000000.0,Oct 17 1956,PG,,United Artists,Based on Book/Short Story,Adventure,,,73.0,5.6,21516.0,0.055250969966954,56.0,73.0
68,Barbarella,0.0,0.0,,9000000.0,Oct 10 1968,,,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,,74.0,5.7,10794.0,0.0,57.0,74.0
69,Barry Lyndon,20000000.0,20000000.0,,11000000.0,Dec 31 1974,,,Warner Bros.,Based on Book/Short Story,Drama,,Stanley Kubrick,94.0,8.1,39909.0,0.026309985698549525,81.0,94.0
70,"Barbarians, The",800000.0,800000.0,,4000000.0,Mar 01 1987,,,,,,,,,5.4,236.0,0.001052399427941981,54.0,
71,Babe,63658910.0,246100000.0,,30000000.0,Aug 04 1995,G,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98.0,7.3,35644.0,0.08374325058426256,73.0,98.0
72,Boynton Beach Club,3127472.0,3127472.0,,2900000.0,Mar 24 2006,R,104.0,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,,,0.004114187179630704,,
73,Baby's Day Out,16581575.0,16581575.0,,50000000.0,Jul 01 1994,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21.0,5.0,8332.0,0.021813050055471316,50.0,21.0
74,Bound by Honor,4496583.0,4496583.0,,35000000.0,Apr 16 1993,,,Walt Disney Pictures,Original Screenplay,,,Taylor Hackford,,7.7,10142.0,0.005915251721117046,77.0,
75,"Bon Cop, Bad Cop",12671300.0,12671300.0,,8000000.0,Aug 04 2006,Not Rated,,Alliance,Original Screenplay,Comedy,Contemporary Fiction,,67.0,6.9,151.0,0.016669086089101528,69.0,67.0
76,Back to the Future,210609762.0,381109762.0,,19000000.0,Jul 03 1985,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96.0,8.4,201598.0,0.2770569913097459,84.0,96.0
77,Back to the Future Part II,118450002.0,332000000.0,,40000000.0,Nov 22 1989,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64.0,7.5,87341.0,0.15582089293065812,75.0,64.0
78,Back to the Future Part III,87666629.0,243700000.0,,40000000.0,May 24 1990,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71.0,7.1,77541.0,0.11532538776150235,71.0,71.0
79,Butch Cassidy and the Sundance Kid,102308900.0,102308900.0,,6000000.0,Oct 24 1969,,,20th Century Fox,,Western,Historical Fiction,George Roy Hill,90.0,8.2,57602.0,0.13458728479171667,82.0,90.0
80,Bad Boys,65647413.0,141247413.0,,23000000.0,Apr 07 1995,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39.0,6.6,53929.0,0.0863591248588387,66.0,39.0
81,Body Double,8801940.0,8801940.0,,10000000.0,Oct 26 1984,,,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84.0,6.4,9738.0,0.01157894577597455,64.0,84.0
82,"The Beast from 20,000 Fathoms",5000000.0,5000000.0,,210000.0,Jun 13 1953,,,Warner Bros.,Based on Book/Short Story,,,,90.0,,,0.006577496424637381,,90.0
83,Beastmaster 2: Through the Portal of Time,773490.0,773490.0,,6000000.0,Aug 30 1991,,,New Line,Based on Book/Short Story,,Fantasy,,17.0,3.3,1327.0,0.0,33.0,17.0
84,The Beastmaster,10751126.0,10751126.0,,5000000.0,Aug 20 1982,,,MGM,Based on Book/Short Story,Action,Fantasy,,50.0,5.7,5734.0,0.014143098565165197,57.0,50.0
85,Ben-Hur,9000000.0,9000000.0,,3900000.0,Dec 30 2025,,,MGM,Based on Book/Short Story,Adventure,,,,8.2,58510.0,0.011839493564347285,82.0,
86,Ben-Hur,73000000.0,73000000.0,,15000000.0,Nov 18 1959,,,MGM,Based on Book/Short Story,Adventure,,William Wyler,91.0,8.2,58510.0,0.09603144779970577,82.0,91.0
87,Benji,31559560.0,31559560.0,,500000.0,Nov 15 1974,,,,Original Screenplay,Adventure,,,83.0,5.8,1801.0,0.04151657861262578,58.0,83.0
88,Before Sunrise,5274005.0,5274005.0,,2500000.0,Jan 27 1995,R,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100.0,8.0,39705.0,0.006937949806203934,80.0,100.0
89,Beauty and the Beast,171340294.0,403476931.0,,20000000.0,Nov 13 1991,G,,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93.0,3.4,354.0,0.22539803423626353,34.0,93.0
90,The Best Years of Our Lives,23600000.0,23600000.0,,2100000.0,Nov 21 2046,,,RKO Radio Pictures,Based on Book/Short Story,Drama,,William Wyler,97.0,8.2,17338.0,0.031045783124288438,82.0,97.0
91,The Ballad of Gregorio Cortez,909000.0,909000.0,,1305000.0,Aug 19 1983,,,Embassy,Based on Book/Short Story,Western,Historical Fiction,,,,,0.0011957888499990758,,
92,My Big Fat Independent Movie,4655.0,4655.0,,3000000.0,Sep 30 2005,R,,Big Fat Movies,,Comedy,Contemporary Fiction,,23.0,3.2,1119.0,6.123649171337402e-06,32.0,23.0
93,Battle for the Planet of the Apes,8800000.0,8800000.0,,1800000.0,Dec 31 1972,,,20th Century Fox,,,Science Fiction,Jack Lee Thompson,38.0,5.0,6094.0,0.01157639370736179,50.0,38.0
94,Big Things,0.0,0.0,,50000.0,Dec 31 2009,,,,,,,,,,,0.0,,
95,Bogus,4357406.0,4357406.0,,32000000.0,Sep 06 1996,PG,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Norman Jewison,40.0,4.8,2742.0,0.0057321644771386945,48.0,40.0
96,Beverly Hills Cop,234760478.0,316300000.0,,15000000.0,Dec 05 1984,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83.0,7.3,45065.0,0.3088272409382325,73.0,83.0
97,Beverly Hills Cop II,153665036.0,276665036.0,,20000000.0,May 20 1987,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46.0,6.1,29712.0,0.2021462449763549,61.0,46.0
98,Beverly Hills Cop III,42586861.0,119180938.0,,50000000.0,May 25 1994,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Landis,10.0,5.0,21199.0,0.0,50.0,10.0
99,The Black Hole,35841901.0,35841901.0,,20000000.0,Dec 21 1979,,,Walt Disney Pictures,Original Screenplay,,Science Fiction,,42.0,5.6,7810.0,0.0471499951359414,56.0,42.0
100,Bathory,0.0,3436763.0,,15000000.0,Jul 10 2008,,,,,,,,,6.1,1446.0,0.0,61.0,
101,Big,114968774.0,151668774.0,,18000000.0,Jun 03 1988,,,20th Century Fox,Original Screenplay,Comedy,Fantasy,Penny Marshall,96.0,7.2,49256.0,0.15124133998598863,72.0,96.0
102,The Big Parade,11000000.0,22000000.0,,245000.0,Jan 01 2025,,,MGM,Based on Play,Drama,,King Vidor,100.0,8.4,2600.0,0.014470492134202238,84.0,100.0
103,Boyz n the Hood,56190094.0,56190094.0,,6500000.0,Jul 12 1991,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,98.0,7.8,30299.0,0.07391802847700767,78.0,98.0
104,"The Book of Mormon Movie, Volume 1: The Journey",1660865.0,1660865.0,,2000000.0,Sep 12 2003,PG,,Distributor Unknown,Based on Book/Short Story,Drama,Historical Fiction,,,,,0.002184866719861073,,
105,Return to the Blue Lagoon,2000000.0,2000000.0,,11000000.0,Dec 31 1990,,,,,,,,,4.3,4632.0,0.0026309985698549526,43.0,
106,"Bright Lights, Big City",16118077.0,16118077.0,,25000000.0,Apr 01 1988,R,,United Artists,Based on Book/Short Story,Drama,Contemporary Fiction,,61.0,6.8,11929.0,0.021203318767906,68.0,61.0
107,The Blue Bird,887000.0,887000.0,,1200000.0,Dec 31 1975,,,20th Century Fox,Based on Play,,Fantasy,George Cukor,,4.9,359.0,0.0011668478657306713,49.0,
108,The Blue Butterfly,1610194.0,1610194.0,,10400000.0,Feb 20 2004,PG,,Alliance,Original Screenplay,Drama,Contemporary Fiction,,44.0,6.2,817.0,0.0021182090555945127,62.0,44.0
109,Blade Runner,32656328.0,33139618.0,,28000000.0,Jun 25 1982,R,,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92.0,8.3,185546.0,0.04295937613235712,83.0,92.0
110,Bloodsport,11806119.0,11806119.0,,1500000.0,Feb 26 1988,,,Cannon,Original Screenplay,Action,Contemporary Fiction,,,6.2,19816.0,0.01553094110226869,62.0,
111,The Blues Brothers,57229890.0,57229890.0,,27000000.0,Jun 20 1980,,,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84.0,7.9,62941.0,0.07528587937147813,79.0,84.0
112,Blow Out,13747234.0,13747234.0,,18000000.0,Jul 24 1981,,,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89.0,7.1,10239.0,0.01808447649673069,71.0,89.0
113,De battre mon coeur s'est arrÍtÈ,1023424.0,8589831.0,,5500000.0,Jul 01 2005,Not Rated,,WellSpring,Original Screenplay,Drama,Contemporary Fiction,,,7.3,7295.0,0.0013463135401776175,73.0,
114,The Broadway Melody,2800000.0,4358000.0,,379000.0,Dec 31 1928,,,MGM,Original Screenplay,Musical,,,38.0,6.7,2017.0,0.0036833979977969333,67.0,38.0
115,Boom Town,9172000.0,9172000.0,,2000000.0,Dec 31 1939,,,MGM,Original Screenplay,,,,,7.1,1115.0,0.012065759441354811,71.0,
116,Bound,3802260.0,6300000.0,,4500000.0,Oct 04 1996,R,,Gramercy,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88.0,7.4,23564.0,0.005001870311108346,74.0,88.0
117,Bang,527.0,527.0,,10000.0,Apr 01 1996,,,JeTi Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,"Jeff """"King Jeff"""" Hollins",,6.3,369.0,6.9326812315678e-07,63.0,
118,Bananas,,,,2000000.0,Apr 28 1971,PG-13,,MGM,Original Screenplay,Comedy,,Woody Allen,89.0,7.1,12415.0,,71.0,89.0
119,Bill & Ted's Bogus Journey,37537675.0,37537675.0,,20000000.0,Jul 19 1991,,,Orion Pictures,Original Screenplay,Comedy,Fantasy,Peter Hewitt,58.0,5.8,20188.0,0.04938078462034,58.0,58.0
120,The Birth of a Nation,10000000.0,11000000.0,,110000.0,Feb 08 2015,,,,Based on Book/Short Story,Drama,,,100.0,7.1,8901.0,0.013154992849274762,71.0,100.0
121,The Ballad of Cable Hogue,3500000.0,5000000.0,,3716946.0,May 13 1970,,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,92.0,7.3,3125.0,0.004604247497246167,73.0,92.0
122,The Blood of Heroes,882290.0,882290.0,,7700000.0,Feb 23 1990,,,New Line,Original Screenplay,Action,,,,6.2,2523.0,0.001160651864098663,62.0,
123,The Blood of My Brother: A Story of Death in Iraq,0.0,0.0,,120000.0,Jun 30 2006,,,Lifesize Entertainment,Based on Real Life Events,Documentary,Factual,,71.0,7.6,90.0,0.0,76.0,71.0
124,Boomerang,70052444.0,131052444.0,,42000000.0,Jul 01 1992,,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,37.0,5.9,202.0,0.09215393998942208,59.0,37.0
125,The Bridge on the River Kwai,33300000.0,33300000.0,,3000000.0,Dec 18 1957,,,Sony/Columbia,Based on Book/Short Story,Drama,,David Lean,95.0,8.4,58641.0,0.04380612618808496,84.0,95.0
126,Born on the Fourth of July,70001698.0,70001698.0,,14000000.0,Dec 20 1989,,,Universal,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,89.0,7.2,32108.0,0.09208718366270914,72.0,89.0
127,Basquiat,2962051.0,2962051.0,,3000000.0,Aug 09 1996,R,,Miramax,Based on Real Life Events,Drama,Dramatization,Julian Schnabel,69.0,6.7,7935.0,0.0038965759724187156,67.0,69.0
128,Black Rain,45892212.0,45892212.0,,30000000.0,Sep 22 1989,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Ridley Scott,57.0,4.1,137.0,0.060371172069740145,41.0,57.0
129,Bottle Rocket,407488.0,407488.0,,5000000.0,Feb 21 1996,R,,Sony Pictures,Based on Short Film,Adventure,,Wes Anderson,79.0,7.2,21980.0,0.0005360501726165275,72.0,79.0
130,Braindead,242623.0,242623.0,,3000000.0,Feb 12 1993,,,Trimark,Original Screenplay,Horror,,Peter Jackson,,7.6,32827.0,0.00031917038300695907,76.0,
131,The Bridges of Madison County,71516617.0,175516617.0,,22000000.0,Jun 02 1995,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90.0,7.2,21923.0,0.09408005852393218,72.0,90.0
132,The Brothers McMullen,10426506.0,10426506.0,,25000.0,Aug 09 1995,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,91.0,6.4,4365.0,0.01371606118729204,64.0,91.0
133,Dracula,82522790.0,215862692.0,,40000000.0,Nov 13 1992,R,,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,Francis Ford Coppola,,6.4,136.0,0.10855867123522028,64.0,
134,Broken Arrow,70645997.0,148345997.0,,65000000.0,Feb 09 1996,R,108.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55.0,5.8,33584.0,0.09293475853648862,58.0,55.0
135,Brainstorm,8921050.0,8921050.0,,15000000.0,Sep 30 1983,,,MGM,Based on Book/Short Story,Thriller/Suspense,Science Fiction,,64.0,6.3,4410.0,0.011735634895802262,63.0,64.0
136,Braveheart,75545647.0,209000000.0,,72000000.0,May 24 1995,R,,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,77.0,8.4,240642.0,0.09938024460788354,84.0,77.0
137,Les BronzÈs 3: amis pour la vie,0.0,83833602.0,,42000000.0,Feb 01 2006,,,,,Comedy,Contemporary Fiction,,,4.4,1254.0,0.0,44.0,
138,Brazil,9929135.0,9929135.0,,15000000.0,Dec 18 1985,R,136.0,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98.0,8.0,76635.0,0.013061769992448376,80.0,98.0
139,Blazing Saddles,119500000.0,119500000.0,,2600000.0,Jan 01 1974,,,Warner Bros.,Original Screenplay,Comedy,,Mel Brooks,89.0,7.8,45771.0,0.1572021645488334,78.0,89.0
140,The Basket,609042.0,609042.0,,1300000.0,May 05 2000,PG,,MGM,Original Screenplay,Drama,,,,6.3,343.0,0.0008011943154907999,63.0,
141,Bathing Beauty,3500000.0,3500000.0,,2361000.0,Dec 31 1943,,,MGM,Original Screenplay,Musical,,,,6.2,487.0,0.004604247497246167,62.0,
142,Bill & Ted's Excellent Adventure,39916091.0,39916091.0,,10000000.0,Feb 17 1989,,,Orion Pictures,Original Screenplay,Comedy,Science Fiction,Stephen Herek,81.0,6.7,30341.0,0.05250958916760007,67.0,81.0
